v,energy
0.000000000000000000e+00,-1.000000000000000000e+00
2.000000000000000111e-01,-1.021419999999999995e+00
4.000000000000000222e-01,-1.081879999999999953e+00
6.000000000000000888e-01,-1.176019999999999843e+00
8.000000000000000444e-01,-1.287279999999999980e+00
1.000000000000000000e+00,-1.428099999999999925e+00
1.200000000000000178e+00,-1.578240000000000087e+00
1.400000000000000133e+00,-1.724199999999999955e+00
1.600000000000000089e+00,-1.895880000000000010e+00
1.800000000000000044e+00,-2.069960000000000022e+00
2.000000000000000000e+00,-2.248499999999999943e+00
