v,energy
0.000000000000000000e+00,-1.000000000000000000e+00
2.000000000000000111e-01,-1.024059999999999970e+00
4.000000000000000222e-01,-1.079839999999999911e+00
6.000000000000000888e-01,-1.171300000000000008e+00
8.000000000000000444e-01,-1.288640000000000230e+00
1.000000000000000000e+00,-1.425699999999999967e+00
1.200000000000000178e+00,-1.569560000000000288e+00
1.400000000000000133e+00,-1.729659999999999753e+00
1.600000000000000089e+00,-1.898500000000000076e+00
1.800000000000000044e+00,-2.073280000000000456e+00
2.000000000000000000e+00,-2.244899999999999896e+00
